% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.152214	1	2	1	3.36092e-11	70854.5	0
0.153214	1	1	2	3.38156e-11	71289.5	0
0.153214	1	2	1	3.36092e-11	70854.5	0
0.154214	1	1	2	3.38169e-11	71292.3	0
0.154214	1	2	1	3.36092e-11	70854.5	0
0.155214	1	1	2	3.38183e-11	71295.2	0
0.155214	1	2	1	3.36092e-11	70854.5	0
0.156214	1	1	2	3.38196e-11	71298	0
0.156214	1	2	1	3.36092e-11	70854.5	0
0.157214	1	1	2	3.3821e-11	71300.9	0
0.157214	1	2	1	3.36092e-11	70854.5	0
0.158214	1	1	2	3.38223e-11	71303.7	0
0.158214	1	2	1	3.36092e-11	70854.5	0
0.159214	1	1	2	3.38237e-11	71306.6	0
0.159214	1	2	1	3.36092e-11	70854.5	0
0.160214	1	1	2	3.3825e-11	71309.4	0
0.160214	1	2	1	3.36092e-11	70854.5	0
0.161214	1	1	2	3.38264e-11	71312.3	0
0.161214	1	2	1	3.36092e-11	70854.5	0
0.162214	1	1	2	3.38277e-11	71315.1	0
0.162214	1	2	1	3.36092e-11	70854.5	0
0.163214	1	1	2	3.38291e-11	71318	0
0.163214	1	2	1	3.36092e-11	70854.5	0
0.164214	1	1	2	3.38304e-11	71320.8	0
0.164214	1	2	1	3.36092e-11	70854.5	0
0.165214	1	1	2	3.38318e-11	71323.7	0
0.165214	1	2	1	3.36092e-11	70854.5	0
0.166214	1	1	2	3.38331e-11	71326.5	0
0.166214	1	2	1	3.36092e-11	70854.5	0
0.167214	1	1	2	3.38345e-11	71329.4	0
0.167214	1	2	1	3.36092e-11	70854.5	0
0.168214	1	1	2	3.38359e-11	71332.2	0
0.168214	1	2	1	3.36092e-11	70854.5	0
0.169214	1	1	2	3.38372e-11	71335.1	0
0.169214	1	2	1	3.36092e-11	70854.5	0
0.170214	1	1	2	3.38386e-11	71337.9	0
0.170214	1	2	1	3.36092e-11	70854.5	0
0.171214	1	1	2	3.38399e-11	71340.8	0
0.171214	1	2	1	3.36092e-11	70854.5	0
0.172214	1	1	2	3.38413e-11	71343.7	0
0.172214	1	2	1	3.36092e-11	70854.5	0
0.173214	1	1	2	3.38426e-11	71346.5	0
0.173214	1	2	1	3.36092e-11	70854.5	0
0.174214	1	1	2	3.3844e-11	71349.4	0
0.174214	1	2	1	3.36092e-11	70854.5	0
