% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.855	1	1	86	6	1	28	2292	0
0.856	1	1	86	7	1	28	2292	0
0.857	3	2	86	8	1	28	2292	0
0.858	3	2	86	9	1	28	2292	0
0.859	3	2	86	10	1	28	2292	0
0.862	1	1	87	3	1	28	2292	0
0.865	1	1	87	6	1	28	2292	0
0.866	1	1	87	7	1	28	2292	0
0.867	3	2	87	8	1	28	2292	0
0.868	3	2	87	9	1	28	2292	0
0.869	3	2	87	10	1	28	2292	0
0.872	1	1	88	3	1	28	2292	0
0.875	1	1	88	6	1	28	2292	0
0.876	1	1	88	7	1	28	2292	0
0.877	3	2	88	8	1	28	2292	0
0.878	3	2	88	9	1	28	2292	0
0.879	3	2	88	10	1	28	2292	0
0.882	1	1	89	3	1	28	2292	0
0.885	1	1	89	6	1	28	2292	0
0.886	1	1	89	7	1	28	2292	0
0.887	3	2	89	8	1	28	2292	0
0.888	3	2	89	9	1	28	2292	0
0.889	3	2	89	10	1	28	2292	0
0.892	1	1	90	3	1	28	2292	0
0.895	1	1	90	6	1	28	2292	0
0.896	1	1	90	7	1	28	2292	0
0.897	3	2	90	8	1	28	2292	0
0.898	3	2	90	9	1	28	2292	0
0.899	3	2	90	10	1	28	2292	0
0.902	1	1	91	3	1	28	2292	0
0.905	1	1	91	6	1	28	2292	0
0.906	1	1	91	7	1	28	2292	0
0.907	3	2	91	8	1	28	2292	0
0.908	3	2	91	9	1	28	2292	0
0.909	3	2	91	10	1	28	2292	0
0.912	1	1	92	3	1	28	2292	0
0.915	1	1	92	6	1	28	2292	0
0.916	1	1	92	7	1	28	2292	0
0.917	3	2	92	8	1	28	2292	0
0.918	3	2	92	9	1	28	2292	0
0.919	3	2	92	10	1	28	2292	0
0.922	1	1	93	3	1	28	2292	0
0.925	1	1	93	6	1	28	2292	0
0.926	1	1	93	7	1	28	2292	0
0.927	3	2	93	8	1	28	2292	0
0.928	3	2	93	9	1	28	2292	0
0.929	3	2	93	10	1	28	2292	0
0.932	1	1	94	3	1	28	2292	0
0.935	1	1	94	6	1	28	2292	0
0.936	1	1	94	7	1	28	2292	0
0.937	3	2	94	8	1	28	2292	0
0.938	3	2	94	9	1	28	2292	0
0.939	3	2	94	10	1	28	2292	0
0.942	1	1	95	3	1	28	2292	0
0.945	1	1	95	6	1	28	2292	0
0.946	1	1	95	7	1	28	2292	0
0.947	3	2	95	8	1	28	2292	0
0.948	3	2	95	9	1	28	2292	0
0.949	3	2	95	10	1	28	2292	0
0.952	1	1	96	3	1	28	2292	0
0.955	1	1	96	6	1	28	2292	0
0.956	1	1	96	7	1	28	2292	0
0.957	3	2	96	8	1	28	2292	0
0.958	3	2	96	9	1	28	2292	0
0.959	3	2	96	10	1	28	2292	0
0.962	1	1	97	3	1	28	2292	0
0.965	1	1	97	6	1	28	2292	0
0.966	1	1	97	7	1	28	2292	0
0.967	3	2	97	8	1	28	2292	0
0.968	3	2	97	9	1	28	2292	0
0.969	3	2	97	10	1	28	2292	0
0.972	1	1	98	3	1	28	2292	0
0.975	1	1	98	6	1	28	2292	0
0.976	1	1	98	7	1	28	2292	0
0.977	3	2	98	8	1	28	2292	0
0.978	3	2	98	9	1	28	2292	0
0.979	3	2	98	10	1	28	2292	0
0.982	1	1	99	3	1	28	2292	0
