% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
8903	3	2	1	0	28	2292	0	1	0
8904	3	2	1	0	28	2292	0	1	0
8905	3	2	1	0	28	2292	0	1	0
8908	1	1	1	0	28	2292	0	1	0
8911	1	1	1	0	28	2292	0	1	0
8912	1	1	1	0	28	2292	0	1	0
8913	3	2	1	0	28	2292	0	1	0
8914	3	2	1	0	28	2292	0	1	0
8915	3	2	1	0	28	2292	0	1	0
8918	1	1	1	0	28	2292	0	1	0
8921	1	1	1	0	28	2292	0	1	0
8922	1	1	1	0	28	2292	0	1	0
8923	3	2	1	0	28	2292	0	1	0
8924	3	2	1	0	28	2292	0	1	0
8925	3	2	1	0	28	2292	0	1	0
8928	1	1	1	0	28	2292	0	1	0
8931	1	1	1	0	28	2292	0	1	0
8932	1	1	1	0	28	2292	0	1	0
8933	3	2	1	0	28	2292	0	1	0
8934	3	2	1	0	28	2292	0	1	0
8935	3	2	1	0	28	2292	0	1	0
8938	1	1	1	0	28	2292	0	1	0
8941	1	1	1	0	28	2292	0	1	0
8942	1	1	1	0	28	2292	0	1	0
8943	3	2	1	0	28	2292	0	1	0
8944	3	2	1	0	28	2292	0	1	0
8945	3	2	1	0	28	2292	0	1	0
8948	1	1	1	0	28	2292	0	1	0
8951	1	1	1	0	28	2292	0	1	0
8952	1	1	1	0	28	2292	0	1	0
8953	3	2	1	0	28	2292	0	1	0
8954	3	2	1	0	28	2292	0	1	0
8955	3	2	1	0	28	2292	0	1	0
8958	1	1	1	0	28	2292	0	1	0
8961	1	1	1	0	28	2292	0	1	0
8962	1	1	1	0	28	2292	0	1	0
8963	3	2	1	0	28	2292	0	1	0
8964	3	2	1	0	28	2292	0	1	0
8965	3	2	1	0	28	2292	0	1	0
8968	1	1	1	0	28	2292	0	1	0
8971	1	1	1	0	28	2292	0	1	0
8972	1	1	1	0	28	2292	0	1	0
8973	3	2	1	0	28	2292	0	1	0
8974	3	2	1	0	28	2292	0	1	0
8975	3	2	1	0	28	2292	0	1	0
8978	1	1	1	0	28	2292	0	1	0
8981	1	1	1	0	28	2292	0	1	0
8982	1	1	1	0	28	2292	0	1	0
8983	3	2	1	0	28	2292	0	1	0
8984	3	2	1	0	28	2292	0	1	0
8985	3	2	1	0	28	2292	0	1	0
8988	1	1	1	0	28	2292	0	1	0
8991	1	1	1	0	28	2292	0	1	0
8992	1	1	1	0	28	2292	0	1	0
8993	3	2	1	0	28	2292	0	1	0
8994	3	2	1	0	28	2292	0	1	0
8995	3	2	1	0	28	2292	0	1	0
8998	1	1	1	0	28	2292	0	1	0
9001	1	1	1	0	28	2292	0	1	0
9002	1	1	1	0	28	2292	0	1	0
9003	3	2	1	0	28	2292	0	1	0
9004	3	2	1	0	28	2292	0	1	0
9005	3	2	1	0	28	2292	0	1	0
9008	1	1	1	0	28	2292	0	1	0
9011	1	1	1	0	28	2292	0	1	0
9012	1	1	1	0	28	2292	0	1	0
9013	3	2	1	0	28	2292	0	1	0
9014	3	2	1	0	28	2292	0	1	0
9015	3	2	1	0	28	2292	0	1	0
