% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
679	1	1	1	0	0	28	2196	0	1	1	0
681	1	1	1	0	0	28	2196	1	0	0	0
681	3	2	1	0	0	28	2196	1	0	0	0
682	1	1	1	0	0	12	597	0	1	1	0
683	1	1	1	0	0	12	597	0	1	1	0
684	1	1	1	0	0	28	2196	0	1	0	0
684	3	2	1	0	0	28	2196	0	1	0	0
685	3	2	1	0	0	28	2196	0	1	1	0
688	1	1	1	0	0	28	2196	2	0	1	0
688	3	2	1	0	0	28	2196	2	0	1	0
689	1	1	1	0	0	28	2196	0	1	1	0
691	1	1	1	0	0	28	2196	1	0	0	0
691	3	2	1	0	0	28	2196	1	0	0	0
692	1	1	1	0	0	12	597	0	1	1	0
693	1	1	1	0	0	12	597	0	1	1	0
694	1	1	1	0	0	28	2196	0	1	0	0
694	3	2	1	0	0	28	2196	0	1	0	0
695	3	2	1	0	0	28	2196	0	1	1	0
698	1	1	1	0	0	28	2196	2	0	1	0
698	3	2	1	0	0	28	2196	2	0	1	0
699	1	1	1	0	0	28	2196	0	1	1	0
701	1	1	1	0	0	28	2196	1	0	0	0
701	3	2	1	0	0	28	2196	1	0	0	0
702	1	1	1	0	0	12	597	0	1	1	0
703	1	1	1	0	0	12	597	0	1	1	0
704	1	1	1	0	0	28	2196	0	1	0	0
704	3	2	1	0	0	28	2196	0	1	0	0
705	3	2	1	0	0	28	2196	0	1	1	0
708	1	1	1	0	0	28	2196	2	0	1	0
708	3	2	1	0	0	28	2196	2	0	1	0
709	1	1	1	0	0	28	2196	0	1	1	0
711	1	1	1	0	0	28	2196	1	0	0	0
711	3	2	1	0	0	28	2196	1	0	0	0
712	1	1	1	0	0	12	597	0	1	1	0
713	1	1	1	0	0	12	597	0	1	1	0
714	1	1	1	0	0	28	2196	0	1	0	0
714	3	2	1	0	0	28	2196	0	1	0	0
715	3	2	1	0	0	28	2196	0	1	1	0
718	1	1	1	0	0	28	2196	2	0	1	0
718	3	2	1	0	0	28	2196	2	0	1	0
719	1	1	1	0	0	28	2196	0	1	1	0
721	1	1	1	0	0	28	2196	1	0	0	0
721	3	2	1	0	0	28	2196	1	0	0	0
722	1	1	1	0	0	12	597	0	1	1	0
723	1	1	1	0	0	12	597	0	1	1	0
724	1	1	1	0	0	28	2196	0	1	0	0
724	3	2	1	0	0	28	2196	0	1	0	0
725	3	2	1	0	0	28	2196	0	1	1	0
728	1	1	1	0	0	28	2196	2	0	1	0
728	3	2	1	0	0	28	2196	2	0	1	0
729	1	1	1	0	0	28	2196	0	1	1	0
731	1	1	1	0	0	28	2196	1	0	0	0
731	3	2	1	0	0	28	2196	1	0	0	0
732	1	1	1	0	0	12	597	0	1	1	0
733	1	1	1	0	0	12	597	0	1	1	0
734	1	1	1	0	0	28	2196	0	1	0	0
734	3	2	1	0	0	28	2196	0	1	0	0
735	3	2	1	0	0	28	2196	0	1	1	0
738	1	1	1	0	0	28	2196	2	0	1	0
738	3	2	1	0	0	28	2196	2	0	1	0
739	1	1	1	0	0	28	2196	0	1	1	0
741	1	1	1	0	0	28	2196	1	0	0	0
741	3	2	1	0	0	28	2196	1	0	0	0
742	1	1	1	0	0	12	597	0	1	1	0
743	1	1	1	0	0	12	597	0	1	1	0
744	1	1	1	0	0	28	2196	0	1	0	0
744	3	2	1	0	0	28	2196	0	1	0	0
745	3	2	1	0	0	28	2196	0	1	1	0
748	1	1	1	0	0	28	2196	2	0	1	0
748	3	2	1	0	0	28	2196	2	0	1	0
749	1	1	1	0	0	28	2196	0	1	1	0
751	1	1	1	0	0	28	2196	1	0	0	0
751	3	2	1	0	0	28	2196	1	0	0	0
752	1	1	1	0	0	12	597	0	1	1	0
753	1	1	1	0	0	12	597	0	1	1	0
754	1	1	1	0	0	28	2196	0	1	0	0
754	3	2	1	0	0	28	2196	0	1	0	0
755	3	2	1	0	0	28	2196	0	1	1	0
758	1	1	1	0	0	28	2196	2	0	1	0
758	3	2	1	0	0	28	2196	2	0	1	0
759	1	1	1	0	0	28	2196	0	1	1	0
761	1	1	1	0	0	28	2196	1	0	0	0
761	3	2	1	0	0	28	2196	1	0	0	0
762	1	1	1	0	0	12	597	0	1	1	0
763	1	1	1	0	0	12	597	0	1	1	0
764	1	1	1	0	0	28	2196	0	1	0	0
764	3	2	1	0	0	28	2196	0	1	0	0
765	3	2	1	0	0	28	2196	0	1	1	0
768	1	1	1	0	0	28	2196	2	0	1	0
768	3	2	1	0	0	28	2196	2	0	1	0
769	1	1	1	0	0	28	2196	0	1	1	0
771	1	1	1	0	0	28	2196	1	0	0	0
771	3	2	1	0	0	28	2196	1	0	0	0
772	1	1	1	0	0	12	597	0	1	1	0
773	1	1	1	0	0	12	597	0	1	1	0
774	1	1	1	0	0	28	2196	0	1	0	0
774	3	2	1	0	0	28	2196	0	1	0	0
775	3	2	1	0	0	28	2196	0	1	1	0
778	1	1	1	0	0	28	2196	2	0	1	0
778	3	2	1	0	0	28	2196	2	0	1	0
779	1	1	1	0	0	28	2196	0	1	1	0
781	1	1	1	0	0	28	2196	1	0	0	0
781	3	2	1	0	0	28	2196	1	0	0	0
782	1	1	1	0	0	12	597	0	1	1	0
783	1	1	1	0	0	12	597	0	1	1	0
784	1	1	1	0	0	28	2196	0	1	0	0
784	3	2	1	0	0	28	2196	0	1	0	0
785	3	2	1	0	0	28	2196	0	1	1	0
788	1	1	1	0	0	28	2196	2	0	1	0
788	3	2	1	0	0	28	2196	2	0	1	0
789	1	1	1	0	0	28	2196	0	1	1	0
791	1	1	1	0	0	28	2196	1	0	0	0
791	3	2	1	0	0	28	2196	1	0	0	0
792	1	1	1	0	0	12	597	0	1	1	0
793	1	1	1	0	0	12	597	0	1	1	0
794	1	1	1	0	0	28	2196	0	1	0	0
794	3	2	1	0	0	28	2196	0	1	0	0
795	3	2	1	0	0	28	2196	0	1	1	0
798	1	1	1	0	0	28	2196	2	0	1	0
798	3	2	1	0	0	28	2196	2	0	1	0
799	1	1	1	0	0	28	2196	0	1	1	0
801	1	1	1	0	0	28	2196	1	0	0	0
801	3	2	1	0	0	28	2196	1	0	0	0
802	1	1	1	0	0	12	597	0	1	1	0
803	1	1	1	0	0	12	597	0	1	1	0
804	1	1	1	0	0	28	2196	0	1	0	0
804	3	2	1	0	0	28	2196	0	1	0	0
805	3	2	1	0	0	28	2196	0	1	1	0
808	1	1	1	0	0	28	2196	2	0	1	0
808	3	2	1	0	0	28	2196	2	0	1	0
809	1	1	1	0	0	28	2196	0	1	1	0
811	1	1	1	0	0	28	2196	1	0	0	0
811	3	2	1	0	0	28	2196	1	0	0	0
812	1	1	1	0	0	12	597	0	1	1	0
813	1	1	1	0	0	12	597	0	1	1	0
814	1	1	1	0	0	28	2196	0	1	0	0
814	3	2	1	0	0	28	2196	0	1	0	0
815	3	2	1	0	0	28	2196	0	1	1	0
818	1	1	1	0	0	28	2196	2	0	1	0
818	3	2	1	0	0	28	2196	2	0	1	0
819	1	1	1	0	0	28	2196	0	1	1	0
821	1	1	1	0	0	28	2196	1	0	0	0
821	3	2	1	0	0	28	2196	1	0	0	0
822	1	1	1	0	0	12	597	0	1	1	0
823	1	1	1	0	0	12	597	0	1	1	0
824	1	1	1	0	0	28	2196	0	1	0	0
824	3	2	1	0	0	28	2196	0	1	0	0
825	3	2	1	0	0	28	2196	0	1	1	0
