% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
3456	1	1	1	0	28	2292	0	1	1	0
3466	1	1	1	0	28	2292	0	1	1	0
3476	1	1	1	0	28	2292	0	1	1	0
3486	1	1	1	0	28	2292	0	1	1	0
3496	1	1	1	0	28	2292	0	1	1	0
3506	1	1	1	0	28	2292	0	1	1	0
3516	1	1	1	0	28	2292	0	1	1	0
3526	1	1	1	0	28	2292	0	1	1	0
3536	1	1	1	0	28	2292	0	1	1	0
3546	1	1	1	0	28	2292	0	1	1	0
3556	1	1	1	0	28	2292	0	1	1	0
3566	1	1	1	0	28	2292	0	1	1	0
3576	1	1	1	0	28	2292	0	1	1	0
3586	1	1	1	0	28	2292	0	1	1	0
3596	1	1	1	0	28	2292	0	1	1	0
3606	1	1	1	0	28	2292	0	1	1	0
3616	1	1	1	0	28	2292	0	1	1	0
3626	1	1	1	0	28	2292	0	1	1	0
3636	1	1	1	0	28	2292	0	1	1	0
3646	1	1	1	0	28	2292	0	1	1	0
3656	1	1	1	0	28	2292	0	1	1	0
3666	1	1	1	0	28	2292	0	1	1	0
3676	1	1	1	0	28	2292	0	1	1	0
3686	1	1	1	0	28	2292	0	1	1	0
3696	1	1	1	0	28	2292	0	1	1	0
3706	1	1	1	0	28	2292	0	1	1	0
3716	1	1	1	0	28	2292	0	1	1	0
3726	1	1	1	0	28	2292	0	1	1	0
3736	1	1	1	0	28	2292	0	1	1	0
3746	1	1	1	0	28	2292	0	1	1	0
3756	1	1	1	0	28	2292	0	1	1	0
3766	1	1	1	0	28	2292	0	1	1	0
3776	1	1	1	0	28	2292	0	1	1	0
3786	1	1	1	0	28	2292	0	1	1	0
3796	1	1	1	0	28	2292	0	1	1	0
3806	1	1	1	0	28	2292	0	1	1	0
3816	1	1	1	0	28	2292	0	1	1	0
3826	1	1	1	0	28	2292	0	1	1	0
3836	1	1	1	0	28	2292	0	1	1	0
3846	1	1	1	0	28	2292	0	1	1	0
3856	1	1	1	0	28	2292	0	1	1	0
3866	1	1	1	0	28	2292	0	1	1	0
3876	1	1	1	0	28	2292	0	1	1	0
3886	1	1	1	0	28	2292	0	1	1	0
3896	1	1	1	0	28	2292	0	1	1	0
3906	1	1	1	0	28	2292	0	1	1	0
3916	1	1	1	0	28	2292	0	1	1	0
3926	1	1	1	0	28	2292	0	1	1	0
3936	1	1	1	0	28	2292	0	1	1	0
3946	1	1	1	0	28	2292	0	1	1	0
3956	1	1	1	0	28	2292	0	1	1	0
3966	1	1	1	0	28	2292	0	1	1	0
3976	1	1	1	0	28	2292	0	1	1	0
3986	1	1	1	0	28	2292	0	1	1	0
3996	1	1	1	0	28	2292	0	1	1	0
4006	1	1	1	0	28	2292	0	1	1	0
4016	1	1	1	0	28	2292	0	1	1	0
4026	1	1	1	0	28	2292	0	1	1	0
4036	1	1	1	0	28	2292	0	1	1	0
